Draw,Date,Winning Number 1,2,3,4,5,6,7,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50
14/08/2025,2025-08-14,2,8,11,15,19,24,41,15,5,2,4,3,2,3,1,0,1
07/08/2025,2025-08-07,3,12,15,16,33,36,42,,4,3,3,4,1,3,0,2,1
31/07/2025,2025-07-31,5,8,10,14,29,34,40,29,4,3,2,5,3,1,1,2,0
24/07/2025,2025-07-24,18,22,28,29,31,33,43,22,2,5,4,3,0,1,3,2,1
17/07/2025,2025-07-17,4,8,11,19,20,22,23,20,6,1,3,4,2,3,2,0,0
10/07/2025,2025-07-10,9,12,17,20,28,32,37,20,4,3,3,4,1,3,1,2,0
03/07/2025,2025-07-03,5,6,11,18,20,21,29,18,6,1,4,3,2,3,2,0,0
26/06/2025,2025-06-26,7,18,27,30,36,37,40,"7,30",2,5,3,4,1,1,2,3,0
19/06/2025,2025-06-19,6,7,16,17,22,24,30,24,5,2,2,5,2,2,3,0,0
12/06/2025,2025-06-12,13,14,19,24,26,35,39,26,3,4,4,3,0,3,2,2,0
05/06/2025,2025-06-05,2,6,17,22,26,33,42,"26,42",4,3,2,5,2,1,2,1,1
29/05/2025,2025-05-29,8,11,23,26,29,38,42,,2,5,3,4,1,1,3,1,1
22/05/2025,2025-05-22,6,12,14,18,35,37,43,"12,14,35,37",4,3,3,4,1,3,0,2,1
15/05/2025,2025-05-15,2,12,14,30,35,37,39,12,3,4,3,4,1,2,1,3,0
08/05/2025,2025-05-08,5,9,12,22,24,26,29,5,4,3,3,4,2,1,4,0,0
01/05/2025,2025-05-01,1,5,13,16,32,34,38,"5,32",4,3,3,4,2,2,0,3,0
24/04/2025,2025-04-24,2,5,10,11,20,32,43,,5,2,3,4,3,2,0,1,1
17/04/2025,2025-04-17,1,13,31,33,38,39,40,40,2,5,5,2,1,1,0,5,0
10/04/2025,2025-04-10,2,4,9,16,35,40,42,,4,3,2,5,3,1,0,2,1
03/04/2025,2025-04-03,1,12,20,22,24,41,44,"1,41",4,3,2,5,1,2,2,0,2
27/03/2025,2025-03-27,1,10,15,18,34,41,43,,4,3,4,3,2,2,0,1,2
20/03/2025,2025-03-20,8,19,27,30,31,33,37,,2,5,5,2,1,1,2,3,0
13/03/2025,2025-03-13,3,5,13,14,32,34,43,5,4,3,4,3,2,2,0,2,1
06/03/2025,2025-03-06,4,5,10,23,29,30,36,,3,4,3,4,3,0,3,1,0
27/02/2025,2025-02-27,3,28,32,33,37,41,42,,1,6,4,3,1,0,1,3,2
20/02/2025,2025-02-20,1,16,27,34,36,39,40,"1,16",2,5,3,4,1,1,1,4,0
13/02/2025,2025-02-13,1,11,16,23,31,38,42,,3,4,4,3,1,2,1,2,1
06/02/2025,2025-02-06,12,18,20,22,28,33,36,,4,3,1,6,0,3,2,2,0
30/01/2025,2025-01-30,4,10,13,15,17,27,31,"4,15",5,2,5,2,2,3,1,1,0
23/01/2025,2025-01-23,4,15,21,24,35,40,44,"15,21,44",3,4,3,4,1,1,2,2,1
16/01/2025,2025-01-16,3,6,15,21,25,38,44,,4,3,4,3,2,1,2,1,1
09/01/2025,2025-01-09,9,16,23,26,36,40,43,,2,5,3,4,1,1,2,2,1
02/01/2025,2025-01-02,4,11,12,15,28,35,42,4,4,3,3,4,1,3,1,1,1
26/12/2024,2024-12-26,2,4,9,17,18,36,39,9,5,2,3,4,3,2,0,2,0
19/12/2024,2024-12-19,9,12,20,25,28,42,43,"20,43",3,4,3,4,1,2,2,0,2
12/12/2024,2024-12-12,7,20,24,26,27,39,43,"20,27,39",2,5,4,3,1,1,3,1,1
05/12/2024,2024-12-05,12,15,20,27,33,39,41,,3,4,5,2,0,3,1,2,1
28/11/2024,2024-11-28,1,11,18,28,34,35,36,"35,36",3,4,3,4,1,2,1,3,0
21/11/2024,2024-11-21,5,8,9,14,35,36,44,"35,44",4,3,3,4,3,1,0,2,1
14/11/2024,2024-11-14,1,7,30,33,34,35,44,"7,44",2,5,4,3,2,0,1,3,1
07/11/2024,2024-11-07,2,4,7,9,18,39,44,18,5,2,3,4,4,1,0,1,1
31/10/2024,2024-10-31,5,18,19,23,29,36,38,19,3,4,4,3,1,2,2,2,0
24/10/2024,2024-10-24,10,14,19,24,26,34,37,"26,37",3,4,2,5,1,2,2,2,0
17/10/2024,2024-10-17,4,12,26,31,32,36,37,32,2,5,2,5,1,1,1,4,0
10/10/2024,2024-10-10,10,14,16,21,22,32,35,10,5,2,2,5,1,2,2,2,0
03/10/2024,2024-10-03,4,6,10,12,13,36,41,36,5,2,2,5,3,2,0,1,1
26/09/2024,2024-09-26,14,19,22,25,28,36,39,,3,4,3,4,0,2,3,2,0
19/09/2024,2024-09-19,2,4,8,17,31,33,41,"31,33,41",4,3,4,3,3,1,0,2,1
12/09/2024,2024-09-12,7,19,31,33,35,41,42,35,2,5,6,1,1,1,0,3,2
05/09/2024,2024-09-05,1,8,9,14,21,34,35,"1,21",5,2,4,3,3,1,1,2,0
29/08/2024,2024-08-29,1,7,12,13,20,21,25,,6,1,5,2,2,3,2,0,0
22/08/2024,2024-08-22,2,11,15,34,39,40,43,43,3,4,4,3,1,2,0,3,1
15/08/2024,2024-08-15,4,9,23,27,41,42,43,"9,41",2,5,5,2,2,0,2,0,3
08/08/2024,2024-08-08,9,16,26,34,36,39,41,,2,5,3,4,1,1,1,3,1
01/08/2024,2024-08-01,18,19,21,25,27,31,35,,3,4,6,1,0,2,3,2,0
25/07/2024,2024-07-25,3,6,7,15,32,36,37,"3,37",4,3,4,3,3,1,0,3,0
18/07/2024,2024-07-18,3,11,25,33,35,37,39,,2,5,7,0,1,1,1,4,0
11/07/2024,2024-07-11,1,4,10,17,23,28,38,38,4,3,3,4,3,1,2,1,0
04/07/2024,2024-07-04,3,21,22,29,33,36,38,"21,38",3,4,4,3,1,0,3,3,0
27/06/2024,2024-06-27,4,21,25,28,38,41,44,,2,5,3,4,1,0,3,1,2
20/06/2024,2024-06-20,2,8,16,20,35,37,43,20,4,3,3,4,2,2,0,2,1
13/06/2024,2024-06-13,1,11,20,33,40,41,42,1,3,4,4,3,1,2,0,2,2
06/06/2024,2024-06-06,1,2,6,9,12,30,43,9,5,2,3,4,4,1,1,0,1
30/05/2024,2024-05-30,7,9,14,17,27,28,39,9,4,3,5,2,2,2,2,1,0
23/05/2024,2024-05-23,5,9,11,12,22,29,42,42,5,2,4,3,2,2,2,0,1
16/05/2024,2024-05-16,4,14,26,27,32,40,42,,2,5,1,6,1,1,2,2,1
09/05/2024,2024-05-09,9,20,28,30,33,38,41,,2,5,3,4,1,1,2,2,1
02/05/2024,2024-05-02,5,6,7,11,23,40,44,"7,23",4,3,4,3,3,1,1,1,1
25/04/2024,2024-04-25,3,7,10,16,23,35,43,,4,3,5,2,3,1,1,1,1
18/04/2024,2024-04-18,1,5,15,25,29,32,44,"15,25,32",3,4,5,2,2,1,2,1,1
11/04/2024,2024-04-11,6,12,15,25,28,32,35,6,3,4,3,4,1,2,2,2,0
04/04/2024,2024-04-04,6,14,27,31,34,36,41,"14,27",2,5,3,4,1,1,1,3,1
28/03/2024,2024-03-28,2,4,7,14,27,40,44,2,4,3,2,5,3,1,1,1,1
21/03/2024,2024-03-21,1,2,5,10,12,23,31,"2,12",5,2,4,3,4,1,1,1,0
14/03/2024,2024-03-14,2,7,12,18,27,32,38,"7,12",4,3,2,5,2,2,1,2,0
07/03/2024,2024-03-07,7,12,21,30,36,39,40,,3,4,3,4,1,1,2,3,0
29/02/2024,2024-02-29,2,6,24,29,38,41,43,29,2,5,3,4,2,0,2,1,2
22/02/2024,2024-02-22,7,17,18,29,32,35,37,"17,18",3,4,5,2,1,2,1,3,0
15/02/2024,2024-02-15,6,16,17,18,20,24,40,6,5,2,1,6,1,4,1,1,0
08/02/2024,2024-02-08,6,23,26,31,36,38,42,23,1,6,2,5,1,0,2,3,1
01/02/2024,2024-02-01,3,4,15,18,23,32,34,32,4,3,3,4,2,2,1,2,0
25/01/2024,2024-01-25,14,17,19,21,26,32,38,,4,3,3,4,0,3,2,2,0
18/01/2024,2024-01-18,1,4,5,28,29,31,35,"1,4,5",3,4,5,2,3,0,2,2,0
11/01/2024,2024-01-11,1,4,5,21,26,30,39,"1,4",4,3,4,3,3,0,3,1,0
04/01/2024,2024-01-04,1,3,4,15,17,19,41,"15,19",6,1,6,1,3,3,0,0,1
28/12/2023,2023-12-28,6,15,19,25,26,28,38,38,3,4,3,4,1,2,3,1,0
21/12/2023,2023-12-21,3,9,12,13,37,38,39,,4,3,5,2,2,2,0,3,0
14/12/2023,2023-12-14,4,20,21,22,23,26,28,21,4,3,2,5,1,1,5,0,0
07/12/2023,2023-12-07,5,12,18,19,21,24,34,,5,2,3,4,1,3,2,1,0
30/11/2023,2023-11-30,7,10,15,23,30,38,42,"15,42",3,4,3,4,2,1,2,1,1
23/11/2023,2023-11-23,5,8,15,17,25,42,44,25,4,3,4,3,2,2,1,0,2
16/11/2023,2023-11-16,3,6,9,21,25,36,43,6,4,3,5,2,3,0,2,1,1
09/11/2023,2023-11-09,1,2,6,8,33,34,35,1,4,3,3,4,4,0,0,3,0
02/11/2023,2023-11-02,1,5,10,15,18,21,39,21,6,1,5,2,3,2,1,1,0
26/10/2023,2023-10-26,4,20,21,22,28,30,43,20,4,3,2,5,1,1,4,0,1
19/10/2023,2023-10-19,12,18,20,24,27,38,44,"12,27,44",3,4,1,6,0,3,2,1,1
12/10/2023,2023-10-12,4,12,15,23,25,27,44,12,3,4,4,3,1,2,3,0,1
05/10/2023,2023-10-05,1,3,12,16,17,28,30,"12,28",5,2,3,4,2,3,2,0,0
28/09/2023,2023-09-28,9,12,24,26,28,29,35,29,2,5,3,4,1,1,4,1,0
21/09/2023,2023-09-21,10,13,17,20,25,29,31,,4,3,5,2,1,3,2,1,0
14/09/2023,2023-09-14,1,15,18,19,30,36,44,,4,3,3,4,1,3,1,1,1
07/09/2023,2023-09-07,4,11,22,24,26,27,34,4,3,4,2,5,1,1,4,1,0
31/08/2023,2023-08-31,4,9,17,30,33,42,43,,3,4,4,3,2,1,1,1,2
24/08/2023,2023-08-24,12,13,14,16,27,34,39,13,4,3,3,4,0,4,1,2,0
17/08/2023,2023-08-17,11,13,18,19,20,32,43,13,5,2,4,3,0,5,0,1,1
10/08/2023,2023-08-10,1,5,13,15,22,25,37,"22,37",5,2,6,1,2,2,2,1,0
03/08/2023,2023-08-03,3,19,20,22,24,37,42,"19,42",4,3,3,4,1,2,2,1,1
27/07/2023,2023-07-27,1,8,12,19,26,41,42,,4,3,3,4,2,2,1,0,2
20/07/2023,2023-07-20,4,13,20,21,32,39,43,13,4,3,4,3,1,2,1,2,1
13/07/2023,2023-07-13,2,5,13,23,26,35,36,"2,23",3,4,4,3,2,1,2,2,0
06/07/2023,2023-07-06,2,6,14,16,23,38,42,14,4,3,1,6,2,2,1,1,1
29/06/2023,2023-06-29,7,8,10,13,14,33,39,14,5,2,4,3,3,2,0,2,0
22/06/2023,2023-06-22,1,9,14,24,28,34,43,28,3,4,3,4,2,1,2,1,1
15/06/2023,2023-06-15,4,12,13,15,18,21,28,"4,12",6,1,3,4,1,4,2,0,0
08/06/2023,2023-06-08,4,12,17,31,39,43,44,12,3,4,4,3,1,2,0,2,2
01/06/2023,2023-06-01,6,7,10,12,26,29,40,7,4,3,2,5,3,1,2,1,0
25/05/2023,2023-05-25,1,4,7,32,36,39,41,"1,7,39",3,4,4,3,3,0,0,3,1
18/05/2023,2023-05-18,1,7,11,15,31,34,39,"11,39",4,3,6,1,2,2,0,3,0
11/05/2023,2023-05-11,9,10,11,14,23,30,39,,4,3,4,3,2,2,2,1,0
04/05/2023,2023-05-04,1,7,17,22,34,38,44,"38,44",4,3,3,4,2,1,1,2,1
27/04/2023,2023-04-27,5,25,29,30,38,43,44,"5,30",1,6,4,3,1,0,3,1,2
20/04/2023,2023-04-20,5,10,12,23,30,35,40,"5,10,30",3,4,3,4,2,1,2,2,0
13/04/2023,2023-04-13,2,5,10,14,24,30,31,"10,14",4,3,2,5,3,1,2,1,0
06/04/2023,2023-04-06,10,14,20,22,32,35,38,,4,3,1,6,1,2,1,3,0
30/03/2023,2023-03-30,2,3,5,15,23,25,37,"5,15",4,3,6,1,3,1,2,1,0
23/03/2023,2023-03-23,5,15,18,28,36,39,40,28,3,4,3,4,1,2,1,3,0
16/03/2023,2023-03-16,2,10,28,29,35,37,42,"28,35",2,5,3,4,2,0,2,2,1
09/03/2023,2023-03-09,3,9,26,28,33,35,40,"9,28",2,5,4,3,2,0,2,3,0
02/03/2023,2023-03-02,2,8,9,10,18,28,29,"8,10",5,2,2,5,4,1,2,0,0
23/02/2023,2023-02-23,8,10,20,26,30,41,42,,3,4,1,6,2,1,2,0,2
16/02/2023,2023-02-16,18,23,27,29,35,39,44,,1,6,5,2,0,1,3,2,1
09/02/2023,2023-02-09,6,8,12,14,30,34,36,"30,34",4,3,0,7,2,2,1,2,0
02/02/2023,2023-02-02,4,11,15,17,30,34,42,"4,15",4,3,3,4,1,3,1,1,1
26/01/2023,2023-01-26,4,15,22,23,27,38,44,"15,23,38",3,4,3,4,1,1,3,1,1
19/01/2023,2023-01-19,1,15,19,23,31,38,39,1,3,4,6,1,1,2,1,3,0
12/01/2023,2023-01-12,1,3,7,12,14,25,36,"1,12,25,36",5,2,4,3,3,2,1,1,0
05/01/2023,2023-01-05,1,12,25,30,36,37,40,"1,25",2,5,3,4,1,1,2,3,0
29/12/2022,2022-12-29,1,10,14,25,26,32,42,"14,32",3,4,2,5,2,1,2,1,1
22/12/2022,2022-12-22,3,14,27,28,32,36,37,3,2,5,3,4,1,1,2,3,0
15/12/2022,2022-12-15,3,6,7,16,34,38,39,"16,39",4,3,3,4,3,1,0,3,0
08/12/2022,2022-12-08,8,16,17,19,37,39,42,16,4,3,4,3,1,3,0,2,1
01/12/2022,2022-12-01,3,5,6,16,20,22,25,"3,5",6,1,3,4,3,2,2,0,0
24/11/2022,2022-11-24,3,4,5,14,15,23,40,15,5,2,4,3,3,2,1,1,0
17/11/2022,2022-11-17,9,15,19,26,28,35,39,"15,19",3,4,5,2,1,2,2,2,0
10/11/2022,2022-11-10,2,12,15,19,31,43,44,"12,31",4,3,4,3,1,3,0,1,2
03/11/2022,2022-11-03,9,12,28,31,35,41,42,"9,35",2,5,4,3,1,1,1,2,2
27/10/2022,2022-10-27,9,15,21,24,35,40,44,,3,4,4,3,1,1,2,2,1
20/10/2022,2022-10-20,7,25,26,28,32,39,41,,1,6,4,3,1,0,3,2,1
13/10/2022,2022-10-13,16,18,23,27,33,37,43,18,2,5,5,2,0,2,2,2,1
06/10/2022,2022-10-06,1,2,11,12,15,18,44,,6,1,3,4,2,4,0,0,1
29/09/2022,2022-09-29,3,31,33,36,37,42,43,"33,37",1,6,5,2,1,0,0,4,2
22/09/2022,2022-09-22,8,18,22,30,33,37,41,18,3,4,3,4,1,1,2,2,1
15/09/2022,2022-09-15,12,16,17,18,19,32,43,17,5,2,3,4,0,5,0,1,1
08/09/2022,2022-09-08,2,3,8,17,26,31,33,"3,17",4,3,4,3,3,1,1,2,0
01/09/2022,2022-09-01,3,7,9,14,15,17,20,,7,0,5,2,3,4,0,0,0
25/08/2022,2022-08-25,1,5,6,12,23,32,39,12,4,3,4,3,3,1,1,2,0
18/08/2022,2022-08-18,12,26,30,35,37,42,43,37,1,6,3,4,0,1,2,2,2
11/08/2022,2022-08-11,2,7,16,23,37,39,41,,3,4,5,2,2,1,1,2,1
04/08/2022,2022-08-04,8,9,13,21,26,29,44,,4,3,4,3,2,1,3,0,1
28/07/2022,2022-07-28,5,6,11,16,19,28,30,,5,2,3,4,2,3,2,0,0
21/07/2022,2022-07-21,1,3,23,24,26,33,34,,2,5,4,3,2,0,3,2,0
14/07/2022,2022-07-14,12,17,25,27,38,39,42,17,2,5,4,3,0,2,2,2,1
07/07/2022,2022-07-07,3,8,17,19,29,31,40,19,4,3,5,2,2,2,1,2,0
30/06/2022,2022-06-30,2,6,15,18,19,21,28,"6,18,19",6,1,3,4,2,3,2,0,0
23/06/2022,2022-06-23,6,16,17,18,19,24,27,"16,19,27",5,2,3,4,1,4,2,0,0
16/06/2022,2022-06-16,10,16,19,26,27,35,43,27,3,4,4,3,1,2,2,1,1
09/06/2022,2022-06-09,12,21,27,29,37,38,41,"29,38,41",2,5,5,2,0,1,3,2,1
02/06/2022,2022-06-02,2,10,13,25,29,38,41,,3,4,4,3,2,1,2,1,1
26/05/2022,2022-05-26,1,19,26,27,35,39,44,"1,19",2,5,5,2,1,1,2,2,1
19/05/2022,2022-05-19,1,12,13,19,22,28,32,,5,2,3,4,1,3,2,1,0
