Draw,Date,Winning Number 1,2,3,4,5,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50
16 Aug 2025,2025-08-16,1,2,26,27,35,,2,3,3,2,2,0,2,1,0
09 Aug 2025,2025-08-09,3,24,31,32,39,,1,4,3,2,1,0,1,3,0
02 Aug 2025,2025-08-02,2,5,9,16,19,"5,16",5,0,3,2,3,2,0,0,0
26 Jul 2025,2025-07-26,1,5,16,20,23,16,4,1,3,2,2,2,1,0,0
19 Jul 2025,2025-07-19,3,4,16,29,35,,3,2,3,2,2,1,1,1,0
12 Jul 2025,2025-07-12,27,31,39,41,42,27,0,5,4,1,0,0,1,2,2
05 Jul 2025,2025-07-05,8,20,27,30,33,30,2,3,2,3,1,1,2,1,0
28 Jun 2025,2025-06-28,4,5,6,30,34,,3,2,1,4,3,0,1,1,0
21 Jun 2025,2025-06-21,8,11,13,31,40,31,3,2,3,2,1,2,0,2,0
14 Jun 2025,2025-06-14,19,29,31,36,39,29,1,4,4,1,0,1,1,3,0
07 Jun 2025,2025-06-07,3,18,21,29,40,40,3,2,3,2,1,1,2,1,0
31 May 2025,2025-05-31,14,24,35,40,42,24,1,4,1,4,0,1,1,2,1
24 May 2025,2025-05-24,11,21,24,33,37,21,2,3,4,1,0,1,2,2,0
17 May 2025,2025-05-17,5,8,21,27,30,,3,2,3,2,2,0,3,0,0
10 May 2025,2025-05-10,9,11,19,36,40,36,3,2,3,2,1,2,0,2,0
03 May 2025,2025-05-03,3,16,20,33,36,,3,2,2,3,1,2,0,2,0
26 Apr 2025,2025-04-26,4,9,19,32,37,9,3,2,3,2,2,1,0,2,0
19 Apr 2025,2025-04-19,2,9,10,15,33,15,4,1,3,2,3,1,0,1,0
12 Apr 2025,2025-04-12,13,15,27,30,32,30,2,3,3,2,0,2,2,1,0
05 Apr 2025,2025-04-05,4,7,25,30,34,"25,30,34",2,3,2,3,2,0,2,1,0
29 Mar 2025,2025-03-29,1,23,25,30,34,,1,4,3,2,1,0,3,1,0
22 Mar 2025,2025-03-22,8,12,15,20,40,"8,20",4,1,1,4,1,3,0,1,0
15 Mar 2025,2025-03-15,1,4,8,18,20,4,5,0,1,4,3,2,0,0,0
08 Mar 2025,2025-03-08,4,5,15,21,28,,4,1,3,2,2,1,2,0,0
01 Mar 2025,2025-03-01,3,7,22,37,40,"3,40",2,3,3,2,2,0,1,2,0
22 Feb 2025,2025-02-22,3,6,19,38,40,40,3,2,2,3,2,1,0,2,0
15 Feb 2025,2025-02-15,13,14,15,28,40,,3,2,2,3,0,3,1,1,0
08 Feb 2025,2025-02-08,5,30,32,33,34,,1,4,2,3,1,0,1,3,0
01 Feb 2025,2025-02-01,9,20,28,31,38,,2,3,2,3,1,1,1,2,0
25 Jan 2025,2025-01-25,7,14,17,19,34,17,4,1,3,2,1,3,0,1,0
18 Jan 2025,2025-01-18,6,17,18,29,39,17,3,2,3,2,1,2,1,1,0
11 Jan 2025,2025-01-11,13,16,17,24,28,16,3,2,2,3,0,3,2,0,0
04 Jan 2025,2025-01-04,12,16,20,23,42,,3,2,1,4,0,3,1,0,1
28 Dec 2024,2024-12-28,6,22,27,29,36,,1,4,2,3,1,0,3,1,0
21 Dec 2024,2024-12-21,8,9,16,18,31,,4,1,2,3,2,2,0,1,0
14 Dec 2024,2024-12-14,6,14,17,26,29,14,3,2,2,3,1,2,2,0,0
07 Dec 2024,2024-12-07,5,14,22,23,38,14,2,3,2,3,1,1,2,1,0
30 Nov 2024,2024-11-30,7,11,14,18,24,"7,14",4,1,2,3,1,3,1,0,0
23 Nov 2024,2024-11-23,7,14,21,25,29,,3,2,4,1,1,1,3,0,0
16 Nov 2024,2024-11-16,1,3,6,18,24,,4,1,2,3,3,1,1,0,0
09 Nov 2024,2024-11-09,5,14,23,26,38,,2,3,2,3,1,1,2,1,0
02 Nov 2024,2024-11-02,1,11,24,25,31,,2,3,4,1,1,1,2,1,0
26 Oct 2024,2024-10-26,3,6,26,27,36,,2,3,2,3,2,0,2,1,0
19 Oct 2024,2024-10-19,23,33,37,39,41,"23,39",0,5,5,0,0,0,1,3,1
12 Oct 2024,2024-10-12,12,20,23,36,39,23,2,3,2,3,0,2,1,2,0
05 Oct 2024,2024-10-05,4,23,32,41,42,42,1,4,2,3,1,0,1,1,2
28 Sep 2024,2024-09-28,7,16,30,38,42,,2,3,1,4,1,1,1,1,1
21 Sep 2024,2024-09-21,1,6,14,21,32,,4,1,2,3,2,1,1,1,0
14 Sep 2024,2024-09-14,12,26,29,30,42,,1,4,1,4,0,1,3,0,1
07 Sep 2024,2024-09-07,9,17,21,25,41,"9,41",3,2,5,0,1,1,2,0,1
31 Aug 2024,2024-08-31,2,9,13,14,41,,4,1,3,2,2,2,0,0,1
24 Aug 2024,2024-08-24,6,7,21,32,38,32,3,2,2,3,2,0,1,2,0
17 Aug 2024,2024-08-17,4,11,22,32,39,11,2,3,2,3,1,1,1,2,0
10 Aug 2024,2024-08-10,1,3,11,20,35,,4,1,4,1,2,2,0,1,0
03 Aug 2024,2024-08-03,7,9,18,23,30,7,3,2,3,2,2,1,2,0,0
27 Jul 2024,2024-07-27,6,7,11,15,39,,4,1,4,1,2,2,0,1,0
20 Jul 2024,2024-07-20,14,17,26,32,42,32,2,3,1,4,0,2,1,1,1
13 Jul 2024,2024-07-13,7,19,25,30,32,,2,3,3,2,1,1,2,1,0
06 Jul 2024,2024-07-06,15,20,23,24,36,,2,3,2,3,0,2,2,1,0
29 Jun 2024,2024-06-29,3,22,26,38,40,,1,4,1,4,1,0,2,2,0
22 Jun 2024,2024-06-22,16,18,21,27,42,18,3,2,2,3,0,2,2,0,1
15 Jun 2024,2024-06-15,9,17,18,28,30,,3,2,2,3,1,2,2,0,0
08 Jun 2024,2024-06-08,4,10,27,32,36,,2,3,1,4,2,0,1,2,0
01 Jun 2024,2024-06-01,1,5,6,20,38,1,4,1,2,3,3,1,0,1,0
25 May 2024,2024-05-25,1,25,34,35,42,"1,42",1,4,3,2,1,0,1,2,1
18 May 2024,2024-05-18,1,3,15,17,42,,4,1,4,1,2,2,0,0,1
11 May 2024,2024-05-11,20,30,32,37,41,"20,32",1,4,2,3,0,1,1,2,1
04 May 2024,2024-05-04,11,20,26,32,34,34,2,3,1,4,0,2,1,2,0
27 Apr 2024,2024-04-27,9,27,30,34,38,30,1,4,2,3,1,0,2,2,0
20 Apr 2024,2024-04-20,16,18,26,30,41,,2,3,1,4,0,2,2,0,1
13 Apr 2024,2024-04-13,4,21,24,33,37,37,2,3,3,2,1,0,2,2,0
06 Apr 2024,2024-04-06,2,13,28,30,37,28,2,3,2,3,1,1,2,1,0
30 Mar 2024,2024-03-30,7,9,24,28,33,,2,3,3,2,2,0,2,1,0
23 Mar 2024,2024-03-23,4,13,27,30,38,13,2,3,2,3,1,1,2,1,0
16 Mar 2024,2024-03-16,8,13,15,18,21,13,5,0,3,2,1,3,1,0,0
09 Mar 2024,2024-03-09,2,4,13,31,39,,3,2,3,2,2,1,0,2,0
02 Mar 2024,2024-03-02,18,24,29,30,41,29,1,4,2,3,0,1,3,0,1
24 Feb 2024,2024-02-24,21,29,36,37,42,,1,4,3,2,0,0,2,2,1
17 Feb 2024,2024-02-17,2,17,20,32,40,,3,2,1,4,1,2,0,2,0
10 Feb 2024,2024-02-10,3,23,25,29,42,42,1,4,4,1,1,0,3,0,1
03 Feb 2024,2024-02-03,11,28,34,40,42,,1,4,1,4,0,1,1,2,1
27 Jan 2024,2024-01-27,8,25,29,32,35,,1,4,3,2,1,0,2,2,0
20 Jan 2024,2024-01-20,4,13,21,39,42,,3,2,3,2,1,1,1,1,1
13 Jan 2024,2024-01-13,5,8,14,35,40,,3,2,2,3,2,1,0,2,0
06 Jan 2024,2024-01-06,7,13,15,27,29,"13,27",3,2,5,0,1,2,2,0,0
30 Dec 2023,2023-12-30,13,24,27,37,42,37,1,4,3,2,0,1,2,1,1
23 Dec 2023,2023-12-23,7,19,21,37,38,7,3,2,4,1,1,1,1,2,0
16 Dec 2023,2023-12-16,1,7,15,22,25,1,3,2,4,1,2,1,2,0,0
09 Dec 2023,2023-12-09,1,11,21,30,38,,3,2,3,2,1,1,2,1,0
02 Dec 2023,2023-12-02,3,10,15,20,29,,4,1,3,2,2,2,1,0,0
25 Nov 2023,2023-11-25,8,9,26,27,33,"8,33",2,3,3,2,2,0,2,1,0
18 Nov 2023,2023-11-18,8,11,30,31,33,,2,3,3,2,1,1,1,2,0
11 Nov 2023,2023-11-11,5,10,14,37,39,39,3,2,3,2,2,1,0,2,0
04 Nov 2023,2023-11-04,4,20,25,35,39,,2,3,3,2,1,1,1,2,0
28 Oct 2023,2023-10-28,11,23,26,38,40,,1,4,2,3,0,1,2,2,0
21 Oct 2023,2023-10-21,15,27,29,31,41,29,1,4,5,0,0,1,2,1,1
14 Oct 2023,2023-10-14,18,20,23,24,29,,2,3,2,3,0,2,3,0,0
07 Oct 2023,2023-10-07,3,17,22,40,42,22,2,3,2,3,1,1,1,1,1
30 Sep 2023,2023-09-30,22,23,25,38,39,22,0,5,3,2,0,0,3,2,0
23 Sep 2023,2023-09-23,6,13,16,22,41,,3,2,2,3,1,2,1,0,1
16 Sep 2023,2023-09-16,1,25,29,32,37,"32,37",1,4,4,1,1,0,2,2,0
09 Sep 2023,2023-09-09,9,20,23,32,37,20,2,3,3,2,1,1,1,2,0
02 Sep 2023,2023-09-02,13,20,24,35,36,35,2,3,2,3,0,2,1,2,0
26 Aug 2023,2023-08-26,2,12,16,17,35,,4,1,2,3,1,3,0,1,0
19 Aug 2023,2023-08-19,3,4,11,13,39,,4,1,4,1,2,2,0,1,0
12 Aug 2023,2023-08-12,5,25,30,33,36,,1,4,3,2,1,0,2,2,0
05 Aug 2023,2023-08-05,1,15,34,39,40,39,2,3,3,2,1,1,0,3,0
29 Jul 2023,2023-07-29,5,7,21,29,39,,3,2,5,0,2,0,2,1,0
22 Jul 2023,2023-07-22,6,11,20,25,35,,3,2,3,2,1,2,1,1,0
15 Jul 2023,2023-07-15,5,17,30,32,38,,2,3,2,3,1,1,1,2,0
08 Jul 2023,2023-07-08,9,12,21,27,33,,3,2,4,1,1,1,2,1,0
01 Jul 2023,2023-07-01,1,4,13,18,31,,4,1,3,2,2,2,0,1,0
24 Jun 2023,2023-06-24,12,16,17,33,41,41,3,2,3,2,0,3,0,1,1
17 Jun 2023,2023-06-17,5,25,31,35,41,41,1,4,5,0,1,0,1,2,1
10 Jun 2023,2023-06-10,13,27,40,41,42,27,1,4,3,2,0,1,1,1,2
03 Jun 2023,2023-06-03,17,20,21,27,31,21,3,2,4,1,0,2,2,1,0
27 May 2023,2023-05-27,1,21,25,30,34,,2,3,3,2,1,0,3,1,0
